nameascii,sov0name,latitude,longitude,pop_max
Tokyo,Japan,35.686963,139.749462,35676000
New York,United States,40.751925,-73.981963,19040000
Mumbai,India,19.018936,72.855043,18978000
Shanghai,China,31.218398,121.434559,14987000
Kolkata,India,22.496915,88.32273,14787000
Dhaka,Bangladesh,23.725006,90.406634,12797394
Buenos Aires,Argentina,-34.600556,-58.399477,12795000
Karachi,Pakistan,24.871938,66.988063,12130000
Cairo,Egypt,30.051906,31.248022,11893000
Rio de Janeiro,Brazil,-22.923077,-43.226967,11748000
Osaka,Japan,34.751981,135.458199,11294000
Manila,Philippines,14.606105,120.980271,11100000
Paris,French Republic,48.868639,2.33139,9904000
Seoul,"Korea, South",37.568295,126.997785,9796000
Lagos,Nigeria,6.445208,3.389585,9466000
Jakarta,Indonesia,-6.172472,106.827492,9125000
Guangzhou,China,23.146927,113.323064,8829000
London,United Kingdom,51.501941,-0.118668,8567000
Shenzhen,China,22.554316,114.120177,7581000
Wuhan,China,30.581977,114.268071,7243000
Hong Kong,China,22.306927,114.183064,7206000
Tianjin,China,39.131972,117.198073,7180000
Chennai,India,13.091934,80.278053,7163000
Taipei,Taiwan,25.035833,121.568333,6900273
Bangkok,Thailand,13.751945,100.514699,6704000
Miami,United States,25.789557,-80.226052,5585000
Philadelphia,United States,40.001919,-75.171942,5492000
Ahmedabad,India,23.031999,72.578058,5375000
Ho Chi Minh City,Vietnam,10.781971,106.693081,5314000
Singapore,Singapore,1.294979,103.853875,5183700
Baghdad,Iraq,33.340594,44.391923,5054000
Barcelona,Kingdom of Spain,41.385245,2.181425,4920000
Sydney,Australia,-33.918065,151.183234,4630000
St. Petersburg,Russia,59.94096,30.314074,4553000
Chattogram,Bangladesh,22.331938,91.798022,4529000
Dongguan,China,23.050835,113.742776,4528000
Boston,United States,42.331906,-71.07196,4467000
Houston,United States,29.82192,-95.341925,4459000
Hanoi,Vietnam,21.035273,105.848068,4378000
"Washington, D.C.",United States,38.901495,-77.011364,4338000
Melbourne,Australia,-37.818086,144.97307,4170000
Alexandria,Egypt,31.201965,29.94805,4165000
Rangoon,Myanmar,16.7853,96.164732,4088000
Porto Alegre,Brazil,-30.048069,-51.201958,3917000
Surat,India,21.20193,72.838094,3842000
Abidjan,Ivory Coast,5.321943,-4.041994,3802000
Nanjing,China,32.051965,118.778029,3679000
Recife,Brazil,-8.0737,-34.917551,3651000
Fortaleza,Brazil,-3.748072,-38.581927,3602319
Salvador,Brazil,-12.968026,-38.481933,3484000
San Francisco,United States,37.769196,-122.417169,3450000
Berlin,Germany,52.523765,13.399603,3406000
Algiers,Algeria,36.765011,3.048607,3354000
Rome,Italy,41.897902,12.481313,3339000
Pyongyang,"Korea, North",39.021385,125.752745,3300000
Nagoya,Japan,35.156943,136.913046,3230000
Cape Town,South Africa,-33.918065,18.433042,3215000
Casablanca,Morocco,33.601922,-7.618313,3181000
Dalian,China,38.924784,121.627885,3167000
Tel Aviv-Yafo,Israel,32.081937,34.768066,3112000
Seattle,United States,47.571948,-122.341931,3074000
Zibo,China,36.801934,118.048047,3061000
Jeddah,Saudi Arabia,21.518835,39.217252,3012000
Hangzhou,China,30.25192,120.168073,3007000
Dar es Salaam,United Republic of Tanzania,-6.798067,39.266396,2930000
San Diego,United States,32.82197,-117.181936,2916000
Qingdao,China,36.091925,120.328063,2866000
Surabaya,Indonesia,-7.24729,112.748887,2845000
Jinan,China,36.676928,116.993073,2798000
Fukuoka,Japan,33.596961,130.408068,2792000
Kaohsiung,Taiwan,22.633307,120.266602,2769072
Fuzhou,China,26.081942,119.2981,2606000
Changsha,China,28.201916,112.968047,2604000
Dakar,Senegal,14.717778,-17.475076,2604000
Izmir,Turkey,38.438096,27.149848,2587000
Incheon,"Korea, South",37.478094,126.640288,2550000
Sapporo,Japan,43.076925,141.338099,2544000
Xiamen,China,24.451938,118.078071,2519000
Guayaquil,Ecuador,-2.218088,-79.921988,2514000
San Juan,United States,18.440023,-66.129979,2478905
Daegu,"Korea, South",35.868735,128.605026,2460000
Jinxi,China,40.752287,120.828033,2426000
Wenzhou,China,28.021927,120.648147,2350000
